Rank,Team,GP,W,L,D,GF,GA,GD,Pts,PPG,StrengthIndex,SourceURL,Division,League,last_updated
6,Academia De Futbol Ole Academia Ole 2017 Black,6,1,3,2,9,25,-16,5,0.8333333333333334,26.4,https://system.gotsport.com/org_event/events/43740/results?group=380753,CPL U9,CPL Fall 2025,2025-10-30 16:51:52
5,Academia De Futbol Ole Academia Ole 2017B Red,5,1,4,0,13,22,-9,3,0.6,23.6,https://system.gotsport.com/org_event/events/43740/results?group=380750,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
3,Alliance Cincinnati SC ACSC B2017 Academy,7,5,1,1,39,16,23,16,2.2857142857142856,78.2,https://system.gotsport.com/org_event/events/43740/results?group=406317,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
1,Alliance Cincinnati SC ACSC B2017 Academy Gold,7,6,0,1,55,16,39,19,2.7142857142857144,93.3,https://system.gotsport.com/org_event/events/43740/results?group=380752,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
1,Campbell Soccer Club (CSC) CSC U9B Enzweiler,8,7,0,1,58,2,56,22,2.75,94.2,https://system.gotsport.com/org_event/events/43740/results?group=406317,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
1,Campbell Soccer Club (CSC) CSC U9B Willoughby,7,6,0,1,38,7,31,19,2.7142857142857144,91.6,https://system.gotsport.com/org_event/events/43740/results?group=380754,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
5,Cincinnati Elite FC Cincinnati Elite FC B17 Elite,7,2,0,5,20,18,2,11,1.5714285714285714,52.5,https://system.gotsport.com/org_event/events/43740/results?group=380748,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
2,Cincinnati Elite FC Cincinnati Elite FC B17 Gold,6,4,1,1,18,10,8,13,2.1666666666666665,69.6,https://system.gotsport.com/org_event/events/43740/results?group=380751,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
3,Cincinnati United CU Northwest 17B Atalanta,8,3,3,2,28,20,8,11,1.375,50.1,https://system.gotsport.com/org_event/events/43740/results?group=380750,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
5,Cincinnati United CULM 17B Aston Villa,8,2,5,1,15,26,-11,7,0.875,31.3,https://system.gotsport.com/org_event/events/43740/results?group=380753,CPL U9,CPL Fall 2025,2025-10-30 16:51:52
8,Cincinnati United CULM 17B Bournemouth,6,0,3,3,9,29,-20,3,0.5,16.7,https://system.gotsport.com/org_event/events/43740/results?group=380748,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
7,Cincinnati United CULM 17B Crystal Palace,7,1,3,3,11,20,-9,6,0.8571428571428571,31.1,https://system.gotsport.com/org_event/events/43740/results?group=380746,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
1,Cincinnati United CUSE 17B Arsenal,8,8,0,0,54,10,44,24,3.0,100.0,https://system.gotsport.com/org_event/events/43740/results?group=380753,CPL U9,CPL Fall 2025,2025-10-30 16:51:52
1,Cincinnati United CUSE 17B Barcelona,6,4,1,1,42,8,34,13,2.1666666666666665,80.6,https://system.gotsport.com/org_event/events/43740/results?group=380748,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
2,Cincinnati United CUSE 17B Chelsea,6,3,2,1,32,9,23,10,1.6666666666666667,65.4,https://system.gotsport.com/org_event/events/43740/results?group=380749,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
6,Cincinnati United CUSE 17B Dortmund,7,1,3,3,16,19,-3,6,0.8571428571428571,33.7,https://system.gotsport.com/org_event/events/43740/results?group=380746,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
2,Cincinnati United CUSE 17B Everton,7,4,2,1,35,28,7,13,1.8571428571428572,61.3,https://system.gotsport.com/org_event/events/43740/results?group=380750,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
2,Cincinnati United CUSE 17B Fiorentina,8,5,1,2,29,20,9,17,2.125,68.0,https://system.gotsport.com/org_event/events/43740/results?group=380752,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
8,Cincinnati United CUSE 17B Granada,8,1,6,1,8,27,-19,4,0.5,19.5,https://system.gotsport.com/org_event/events/43740/results?group=380754,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
2,Cincinnati United CUSM 17B AS Roma,7,6,1,0,37,11,26,18,2.5714285714285716,86.1,https://system.gotsport.com/org_event/events/43740/results?group=380753,CPL U9,CPL Fall 2025,2025-10-30 16:51:52
3,Cincinnati United CUSM 17B Bologna,7,4,3,0,29,24,5,12,1.7142857142857142,57.1,https://system.gotsport.com/org_event/events/43740/results?group=380748,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
5,Cincinnati United CUSM 17B Cagliari,7,1,4,2,18,28,-10,5,0.7142857142857143,27.4,https://system.gotsport.com/org_event/events/43740/results?group=380749,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
7,Cincinnati United CUSM 17B Dinamo Zagreb,6,1,4,1,13,26,-13,4,0.6666666666666666,24.1,https://system.gotsport.com/org_event/events/43740/results?group=380751,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
7,Cincinnati West CWSC B17 Academy Elite,7,1,4,2,12,30,-18,5,0.7142857142857143,24.0,https://system.gotsport.com/org_event/events/43740/results?group=380753,CPL U9,CPL Fall 2025,2025-10-30 16:51:52
4,Cincinnati West CWSC B17 Academy Red,7,5,2,0,22,14,8,15,2.142857142857143,68.4,https://system.gotsport.com/org_event/events/43740/results?group=380754,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
7,Cincy SC Cincy SC B17 Elite,7,0,3,4,18,25,-7,4,0.5714285714285714,25.3,https://system.gotsport.com/org_event/events/43740/results?group=380748,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
4,Cincy SC Cincy SC B17 Navy,6,3,1,2,27,16,11,11,1.8333333333333333,63.3,https://system.gotsport.com/org_event/events/43740/results?group=380746,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
4,Cincy SC Cincy SC B17 Orange,7,3,3,1,28,30,-2,10,1.4285714285714286,47.5,https://system.gotsport.com/org_event/events/43740/results?group=380751,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
3,Cincy SC Cincy SC B17 White,8,4,4,0,26,34,-8,12,1.5,47.0,https://system.gotsport.com/org_event/events/43740/results?group=380752,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
1,Cincy SC Cincy SC B18/17 Premier,6,5,0,1,45,10,35,16,2.6666666666666665,92.2,https://system.gotsport.com/org_event/events/43740/results?group=380747,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
5,Eclipse FC Eclipse FC Beasts,6,0,5,1,8,25,-17,1,0.16666666666666666,10.4,https://system.gotsport.com/org_event/events/43740/results?group=380752,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
