Rank,Team,GP,W,L,D,GF,GA,GD,Pts,PPG,StrengthIndex,SourceURL,Division,EventID,GroupID,League,last_updated
1,STAR Rush Cincinnati STAR Rush B2018 Blue,0,0,0,0,0,0,0,0,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436955,Schedule,40635,436955,Cincinnati United Fall Finale 2025,2025-11-03 13:43:11
2,Cincinnati United CULM 18/19B Aberdeen,0,0,0,0,0,0,0,6,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436955,Schedule,40635,436955,Cincinnati United Fall Finale 2025,2025-11-03 13:43:11
3,Cincinnati United CUSE 18/19B Arsenal,0,0,0,0,0,0,0,9,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436955,Schedule,40635,436955,Cincinnati United Fall Finale 2025,2025-11-03 13:43:11
4,LouCity / Racing Youth Academy LouCity Academy 18 Purple,0,0,0,0,0,0,0,3,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436955,Schedule,40635,436955,Cincinnati United Fall Finale 2025,2025-11-03 13:43:11
5,Cincinnati Elite FC Cincinnati Elite FC B18 Elite,0,0,0,0,0,0,0,4,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436955,Schedule,40635,436955,Cincinnati United Fall Finale 2025,2025-11-03 13:43:11
6,Cincinnati United CUSM 18/19B Andorra,0,0,0,0,0,0,0,9,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436955,Schedule,40635,436955,Cincinnati United Fall Finale 2025,2025-11-03 13:43:11
7,FC Storm FC Storm B18 Loveland Orange,0,0,0,0,0,0,0,0,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436955,Schedule,40635,436955,Cincinnati United Fall Finale 2025,2025-11-03 13:43:11
8,Kings Hammer Soccer Club KHJR NKY B18-1,0,0,0,0,0,0,0,4,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436955,Schedule,40635,436955,Cincinnati United Fall Finale 2025,2025-11-03 13:43:11
9,Cincinnati United CUSM 18/19B Deportivo,0,0,0,0,0,0,0,4,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436956,Schedule,40635,436956,Cincinnati United Fall Finale 2025,2025-11-03 13:43:13
10,Cincinnati United CUSE 18/19B Chelsea,0,0,0,0,0,0,0,4,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436956,Schedule,40635,436956,Cincinnati United Fall Finale 2025,2025-11-03 13:43:13
11,Fairfield Optimist Soccer Club FOSC B18 Red,0,0,0,0,0,0,0,0,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436956,Schedule,40635,436956,Cincinnati United Fall Finale 2025,2025-11-03 13:43:13
12,Kings Hammer Soccer Club KHJR CINCY B18-1,0,0,0,0,0,0,0,9,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436956,Schedule,40635,436956,Cincinnati United Fall Finale 2025,2025-11-03 13:43:13
13,Cincinnati United CUSM 18/19B Burgos,0,0,0,0,0,0,0,1,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436956,Schedule,40635,436956,Cincinnati United Fall Finale 2025,2025-11-03 13:43:13
14,Cincinnati United CUSE 18/19B Barcelona,0,0,0,0,0,0,0,7,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436956,Schedule,40635,436956,Cincinnati United Fall Finale 2025,2025-11-03 13:43:13
15,Total Futbol Academy(OH) TFA B18 Elite,0,0,0,0,0,0,0,3,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436956,Schedule,40635,436956,Cincinnati United Fall Finale 2025,2025-11-03 13:43:13
16,Madeira FC Madeira FC B2018 Orange,0,0,0,0,0,0,0,5,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436956,Schedule,40635,436956,Cincinnati United Fall Finale 2025,2025-11-03 13:43:13
17,Cincinnati United CUSM 18/19 Cordoba,0,0,0,0,0,0,0,0,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436957,Schedule,40635,436957,Cincinnati United Fall Finale 2025,2025-11-03 13:43:16
18,Madeira FC Madeira FC B2018 Blue,0,0,0,0,0,0,0,7,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436957,Schedule,40635,436957,Cincinnati United Fall Finale 2025,2025-11-03 13:43:16
19,FC Storm FC Storm B18 Loveland White,0,0,0,0,0,0,0,4,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436957,Schedule,40635,436957,Cincinnati United Fall Finale 2025,2025-11-03 13:43:16
20,NWC Alliance Soccer Club NWC Alliance 2018 Boys Elite,0,0,0,0,0,0,0,6,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436957,Schedule,40635,436957,Cincinnati United Fall Finale 2025,2025-11-03 13:43:16
21,Indian Hill SA IHSA B18 Black,0,0,0,0,0,0,0,9,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436957,Schedule,40635,436957,Cincinnati United Fall Finale 2025,2025-11-03 13:43:16
22,Cincinnati United CUSE 18/19B Dortmund,0,0,0,0,0,0,0,3,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436957,Schedule,40635,436957,Cincinnati United Fall Finale 2025,2025-11-03 13:43:16
23,LouCity / Racing Youth Academy LouCity Academy 18 Balck,0,0,0,0,0,0,0,3,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436957,Schedule,40635,436957,Cincinnati United Fall Finale 2025,2025-11-03 13:43:16
24,Kings Hammer Soccer Club KHJR NKY B18-2,0,0,0,0,0,0,0,3,0,15.0,https://system.gotsport.com/org_event/events/40635/results?group=436957,Schedule,40635,436957,Cincinnati United Fall Finale 2025,2025-11-03 13:43:16
