ClubOhioOpponent,TheirOpponent
Sporting Columbus Sporting Columbus Boys 2018 I,Pride Soccer Club Pride SC 2019/2018 Boys Copa
Sporting Columbus Sporting Columbus Boys 2018 I,Delaware Knights Delaware Knights 2018 BU08
Sporting Columbus Sporting Columbus Boys 2018 I,Sporting Columbus Sporting Columbus Boys 2018 II
Sporting Columbus Sporting Columbus Boys 2018 I,Johnstown FC Johnstown FC 2018 Boys
Sporting Columbus Sporting Columbus Boys 2018 I,Polaris Soccer Club Polaris SC 18B Navy
Sporting Columbus Sporting Columbus Boys 2018 I,Blast FC Soccer Academy Blast FC 2018B
Sporting Columbus Sporting Columbus Boys 2018 I,Zanesville Arsenal SC Zanesville Arsenal SC 2018B
Sporting Columbus Sporting Columbus Boys 2018 I,Columbus Force SC CE 2018B Net Ninjas
Club Ohio Club Ohio West 18B Academy II,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Club Ohio Club Ohio West 18B Academy II,Northwest FC Northwest FC 2018B Academy Blue
Club Ohio Club Ohio West 18B Academy II,Grove City Kids Association GCKA 2018B
Club Ohio Club Ohio West 18B Academy II,Elite FC Elite FC 2018 Boys Liverpool
Club Ohio Club Ohio West 18B Academy II,Elite FC Elite FC 2018 Boys Tottenham
Club Ohio Club Ohio West 18B Academy II,Upper Arlington United UAU 2018 BU U8 BLACK
Club Ohio Club Ohio West 18B Academy II,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Club Ohio Club Ohio West 18B Academy II,LFC United LFC United 2018 B Elite
Club Ohio Club Ohio West 18B Academy II,LFC United LFC United 2018 B Elite 2
Club Ohio Club Ohio West 18B Academy II,Dublin United Soccer Club DUSC Sharks 2018 Boys
Club Ohio Club Ohio West 18B Academy II,Blast FC Soccer Academy Blast FC 2018B
