ClubOhioOpponent,TheirOpponent,GF,GA,SourceURL
Sporting Columbus Sporting Columbus Boys 2018 I,Blast FC Soccer Academy Blast FC 2018B,,,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Polaris Soccer Club Polaris SC 18B Navy,,,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Sporting Columbus Sporting Columbus Boys 2018 II,,,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Delaware Knights Delaware Knights 2018 BU08,,,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Columbus Force SC CE 2018B Net Ninjas,,,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Johnstown FC Johnstown FC 2018 Boys,,,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Columbus Force SC CE 2018B Net Ninjas,5.0,1.0,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Sporting Columbus Sporting Columbus Boys 2018 II,5.0,1.0,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Sporting Columbus Sporting Columbus Boys 2018 II,1.0,0.0,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Sporting Columbus Sporting Columbus Boys 2018 II,4.0,2.0,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Blast FC Soccer Academy Blast FC 2018B,3.0,2.0,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Zanesville Arsenal SC Zanesville Arsenal SC 2018B,0.0,4.0,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Sporting Columbus Sporting Columbus Boys 2018 II,1.0,4.0,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Delaware Knights Delaware Knights 2018 BU08,3.0,3.0,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Polaris Soccer Club Polaris SC 18B Navy,4.0,0.0,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Pride Soccer Club Pride SC 2019/2018 Boys Copa,0.0,4.0,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Sporting Columbus Sporting Columbus Boys 2018 I,Sporting Columbus Sporting Columbus Boys 2018 II,,,https://system.gotsport.com/org_event/events/45535/schedules?team=3175504
Club Ohio Club Ohio West 18B Academy II,Upper Arlington United UAU 2018 BU U8 BLACK,,,https://system.gotsport.com/org_event/events/45535/schedules?team=3201291
Club Ohio Club Ohio West 18B Academy II,Elite FC Elite FC 2018 Boys Liverpool,,,https://system.gotsport.com/org_event/events/45535/schedules?team=3201291
Club Ohio Club Ohio West 18B Academy II,LFC United LFC United 2018 B Elite,,,https://system.gotsport.com/org_event/events/45535/schedules?team=3201291
Club Ohio Club Ohio West 18B Academy II,Northwest FC Northwest FC 2018B Academy Blue,,,https://system.gotsport.com/org_event/events/45535/schedules?team=3201291
