Team,Opponent,Date,Time,Location,Score,GF,GA,Result,IsHome,EventID,GroupID,SourceURL,DateISO,Team_Age,Opponent_Age,Confidence
Columbus Force SC Columbus Force 18B Premier,Grasshoppers FC Grasshoppers FC - 2018B Pool 1,,,,,,,,False,45535,418523,https://system.gotsport.com/org_event/events/45535/schedules?group=418523,,Unknown,2018,Medium
Columbus Force SC Columbus Force 18B Premier,Ohio Premier 2018 Boys Academy UA Black,,,,,,,,False,45535,418523,https://system.gotsport.com/org_event/events/45535/schedules?group=418523,,Unknown,2018,Medium
Columbus Force SC Columbus Force 18B Premier,Ohio Premier 2018 Boys Academy Dublin Black,,,,,,,,False,45535,418523,https://system.gotsport.com/org_event/events/45535/schedules?group=418523,,Unknown,2018,Medium
Columbus Force SC Columbus Force 18B Premier,Club Oranje Club Oranje Raptors 2018 BU08 Oranje,,"Dec 25, 20255:30 PM – 6:25 PM ESTCanceled",Columbus Soccer Academy - CSA-01A (7v7),-,,,,False,45535,418523,https://system.gotsport.com/org_event/events/45535/schedules?group=418523,,Unknown,2018,Medium
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Grasshoppers FC Grasshoppers FC - 2018B Pool 1 Black,,,,,,,,False,45535,418524,https://system.gotsport.com/org_event/events/45535/schedules?group=418524,,2018,2018,High
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Sporting Columbus Sporting Columbus Boys 2018 I,,,,,,,,False,45535,418524,https://system.gotsport.com/org_event/events/45535/schedules?group=418524,,2018,2018,High
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,,,,,,,,,True,45535,418524,https://system.gotsport.com/org_event/events/45535/schedules?group=418524,,2018,Unknown,Medium
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Ohio Premier 2018 Boys Academy Dublin Grey,,,,,,,,False,45535,418524,https://system.gotsport.com/org_event/events/45535/schedules?group=418524,,2018,2018,High
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Elite FC Elite FC 2018 Boys Arsenal,,,,,,,,False,45535,418524,https://system.gotsport.com/org_event/events/45535/schedules?group=418524,,2018,2018,High
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Northwest FC Northwest FC 2018B Academy Orange,,,,,,,,False,45535,418524,https://system.gotsport.com/org_event/events/45535/schedules?group=418524,,2018,2018,High
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Ohio Premier 2018 Boys Academy UA Grey,,,,,,,,False,45535,418524,https://system.gotsport.com/org_event/events/45535/schedules?group=418524,,2018,2018,High
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Johnstown FC Johnstown FC 2018 Boys,,"Dec 25, 20253:30 PM – 4:25 PM ESTCanceled",Delaware - Smith Park - SMP-04 (Smith Park) 7v7,-,,,,False,45535,418524,https://system.gotsport.com/org_event/events/45535/schedules?group=418524,,2018,2018,High
Columbus Force SC CE 2018B Net Ninjas,Blast FC Soccer Academy Blast FC 2018B,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Columbus Force SC CE 2018B Net Ninjas,Polaris Soccer Club Polaris SC 18B Navy,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,Unknown,Medium
Columbus Force SC CE 2018B Net Ninjas,Sporting Columbus Sporting Columbus Boys 2018 II,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
Columbus Force SC CE 2018B Net Ninjas,Delaware Knights Delaware Knights 2018 BU08,,,,,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2018,2018,High
