Team,Opponent,Date,Time,Location,Score,GF,GA,Result,IsHome,EventID,GroupID,SourceURL,DateISO,Team_Age,Opponent_Age,Confidence
Polaris Soccer Club Polaris SC 18B Navy,Dublin United Soccer Club DUSC Nets 2016 Boys,,"Dec 25, 202511:20 AM – 12:15 PM ESTCanceled",Worthington Dummy - Dummy,-,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,Unknown,2016,Medium
Lancaster Select Soccer Association,Dublin United Soccer Club DUSC Nets 2016 Boys,,"Dec 25, 202511:20 AM – 12:15 PM ESTCanceled",Worthington Dummy - Dummy,-,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,Unknown,2016,Medium
Pataskala Futbol Club Extreme,Dublin United Soccer Club DUSC Nets 2016 Boys,,"Dec 25, 202511:20 AM – 12:15 PM ESTCanceled",Worthington Dummy - Dummy,-,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,Unknown,2016,Medium
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Dublin United Soccer Club DUSC Nets 2016 Boys,,"Dec 25, 202511:20 AM – 12:15 PM ESTCanceled",Worthington Dummy - Dummy,-,,,,False,45535,418528,https://system.gotsport.com/org_event/events/45535/schedules?group=418528,,2019,2016,Low
Polaris Soccer Club Polaris SC 17B Navy,Glory SC Glory SC 2016 Senbeta,,"Dec 25, 202510:00 AM – 10:55 AM ESTCanceled",Grove City - Murfin Fields - MF-03A (Murfin Fields) 7v7,-,,,,False,45535,418531,https://system.gotsport.com/org_event/events/45535/schedules?group=418531,,Unknown,2016,Medium
Columbus Force SC Columbus Force 17B Blue,Glory SC Glory SC 2016 Senbeta,,"Dec 25, 202510:00 AM – 10:55 AM ESTCanceled",Grove City - Murfin Fields - MF-03A (Murfin Fields) 7v7,-,,,,False,45535,418531,https://system.gotsport.com/org_event/events/45535/schedules?group=418531,,Unknown,2016,Medium
Columbus Force SC CE 2016B Mini Bishops,Club Ohio Club Ohio East Pre MLS NEXT 16B,,,,,,,,False,45535,418541,https://system.gotsport.com/org_event/events/45535/schedules?group=418541,,2016,Unknown,Medium
Columbus Force SC CE 2016B Mini Bishops,Polaris Soccer Club Polaris SC 16B Navy,,,,,,,,False,45535,418541,https://system.gotsport.com/org_event/events/45535/schedules?group=418541,,2016,Unknown,Medium
Columbus Force SC CE 2016B Mini Bishops,,,,,,,,,True,45535,418541,https://system.gotsport.com/org_event/events/45535/schedules?group=418541,,2016,Unknown,Medium
Columbus Force SC CE 2016B Mini Bishops,Northwest FC Northwest FC 2016B Orange,,,,,,,,False,45535,418541,https://system.gotsport.com/org_event/events/45535/schedules?group=418541,,2016,2016,High
Columbus Force SC CE 2016B Mini Bishops,Club Ohio Club Ohio West 16B Green,,,,,,,,False,45535,418541,https://system.gotsport.com/org_event/events/45535/schedules?group=418541,,2016,Unknown,Medium
Columbus Force SC CE 2016B Mini Bishops,Club Ohio Club Ohio North Pre MLS NEXT 16B,,,,,,,,False,45535,418541,https://system.gotsport.com/org_event/events/45535/schedules?group=418541,,2016,Unknown,Medium
Columbus Force SC CE 2016B Mini Bishops,Elite FC Elite FC 2016 Boys Pre-ECNL,,,,,,,,False,45535,418541,https://system.gotsport.com/org_event/events/45535/schedules?group=418541,,2016,2016,High
Columbus Force SC CE 2016B Mini Bishops,Northwest FC Northwest FC 2016B Orange,,"Aug 21, 20257:00 PM – 7:55 PM EDTScheduled",Ostrander - Shelly Park - SP-01 (Shelly Prk. 7v7),4 - 8,8.0,4.0,W,False,45535,418541,https://system.gotsport.com/org_event/events/45535/schedules?group=418541,,2016,2016,High
Polaris Soccer Club Polaris SC 16B Navy,Columbus Force SC CE 2016B Mini Bishops,,,,,,,,False,45535,418541,https://system.gotsport.com/org_event/events/45535/schedules?group=418541,,Unknown,2016,Medium
Polaris Soccer Club Polaris SC 16B Navy,Northwest FC Northwest FC 2016B Orange,,,,,,,,False,45535,418541,https://system.gotsport.com/org_event/events/45535/schedules?group=418541,,Unknown,2016,Medium
