GP,W,L,D,GF,GA,Pts,Team,EventID,GroupID
3,3,0,0,26,0,9,Club Oranje Club Oranje Raptors 2017 BU09 Oranje,44565,389754
0,0,0,0,0,0,0,Ohio Champions League Polaris SC 2014 Pre-ECNL,45535,417887
0,0,0,0,0,0,0,Ohio Champions League Columbus Force 11b ECNL R,45535,417891
0,0,0,0,0,0,0,Ohio Champions League Columbus Force 10b ECNL R,45535,417892
8,7,0,1,4,1,22,Dublin United Soccer Club DUSC Cobras I 2018 Girls,45535,418569
8,7,0,1,4,1,22,Columbus Force SC CE 2018G Mighty Tigers,45535,418569
8,7,0,1,4,1,22,Delaware Knights Delaware Knights 2018 GU08,45535,418569
8,7,0,1,4,1,22,Pride Soccer Club Pride SC 2018 Girls,45535,418569
1,1,0,0,4,0,3,Polaris Soccer Club Polaris SC 14G Navy,45535,418582
0,0,0,0,0,0,0,Ohio Champions League Columbus Force 13g Pre-ECNL,45535,417877
0,0,0,0,0,0,0,Ohio Champions League Columbus Force 11g E64RL,45535,417879
0,0,0,0,0,0,0,Ohio Champions League Columbus Force 10g E64RL,45535,417880
0,0,0,0,0,0,0,Ohio Champions League Columbus Force 09g E64RL,45535,417881
