Team,GP,W,L,D,GF,GA,GD,Pts,PPG,Rank,StrengthIndex,League/Division,SourceURL,last_updated
Locker Soccer Academy Locker Elite Como 2018 Boys,8,5,0,3,5.88,3.75,1.88,18,2.25,1,73.1,OSPL/COPL/OCL Fall 2025 - BU08 5v5 Stripes,https://system.gotsport.com/org_event/events/45535/results?group=418526,2025-11-02 19:14:50
Freedom Soccer Club Freedom 2018 Boys,4,2,0,2,3.5,2.5,1.0,8,2.0,2,64.7,OSPL/COPL/OCL Fall 2025 - BU08 5v5 Stripes,https://system.gotsport.com/org_event/events/45535/results?group=418526,2025-11-02 19:14:50
Locker Soccer Academy Locker Elite Cremonese 2018 Boys,7,3,2,2,4.71,4.43,0.29,11,1.57,3,52.5,OSPL/COPL/OCL Fall 2025 - BU08 5v5 Stripes,https://system.gotsport.com/org_event/events/45535/results?group=418526,2025-11-02 19:14:50
Worthington United Worthington United 94 2018 Boys Red,6,1,3,2,3.5,4.5,-0.67,5,0.83,4,32.4,OSPL/COPL/OCL Fall 2025 - BU08 5v5 Stripes,https://system.gotsport.com/org_event/events/45535/results?group=418526,2025-11-02 19:14:50
Club Ohio Club Ohio North 18B Academy,5,1,3,1,3.8,5.4,-1.6,4,0.8,5,28.9,OSPL/COPL/OCL Fall 2025 - BU08 5v5 Stripes,https://system.gotsport.com/org_event/events/45535/results?group=418526,2025-11-02 19:14:50
Worthington United Worthington United 94 2018 Boys White,7,0,7,0,1.14,3.43,-2.29,0,0.0,6,8.1,OSPL/COPL/OCL Fall 2025 - BU08 5v5 Stripes,https://system.gotsport.com/org_event/events/45535/results?group=418526,2025-11-02 19:14:50
Sporting Columbus Sporting Columbus Boys 2018 Bexley,2,2,0,0,5.0,3.5,1.5,6,3.0,1,89.5,OSPL/COPL/OCL Fall 2025 - BU08 5v5 Stripes,https://system.gotsport.com/org_event/events/45535/results?group=418526,2025-11-02 19:14:50
Old Town Soccer Club OTSC 2018 Boys,6,4,1,1,3.67,2.33,1.33,13,2.17,2,69.6,OSPL/COPL/OCL Fall 2025 - BU08 5v5 Stripes,https://system.gotsport.com/org_event/events/45535/results?group=418526,2025-11-02 19:14:50
Granville United FC Granville United FC 2018 Boys,8,5,2,1,5.5,3.63,1.25,16,2.0,3,65.4,OSPL/COPL/OCL Fall 2025 - BU08 5v5 Stripes,https://system.gotsport.com/org_event/events/45535/results?group=418526,2025-11-02 19:14:50
Sporting Columbus Sporting Columbus Boys 2019,10,4,2,4,3.1,2.5,0.6,16,1.6,4,54.1,OSPL/COPL/OCL Fall 2025 - BU08 5v5 Stripes,https://system.gotsport.com/org_event/events/45535/results?group=418526,2025-11-02 19:14:50
SP Soccer Academy SP Soccer Academy 2018 Boys Blue,6,2,2,2,3.5,3.33,0.17,8,1.33,5,46.5,OSPL/COPL/OCL Fall 2025 - BU08 5v5 Stripes,https://system.gotsport.com/org_event/events/45535/results?group=418526,2025-11-02 19:14:50
Club Ohio Club Ohio East 19B Academy,6,1,4,1,3.0,4.5,-1.5,4,0.67,6,26.1,OSPL/COPL/OCL Fall 2025 - BU08 5v5 Stripes,https://system.gotsport.com/org_event/events/45535/results?group=418526,2025-11-02 19:14:50
