Rank,Team,GP,W,D,L,GF,GA,GD,Pts,PPG,StrengthIndex,Unnamed: 1,SourceURL
1,Zanesville Arsenal SC Zanesville Arsenal SC 2018B,8,7,0,1,7.0,1.63,3.13,21,2.62,85.5,1.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
2,Upper Arlington United UAU 2018 BU U8 BLACK,12,9,2,1,2.58,0.58,2.0,29,2.42,77.5,1.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
3,Pride Soccer Club Pride SC 2019/2018 Boys Copa,10,8,0,2,4.5,2.2,2.1,24,2.4,77.3,2.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
4,Elite FC Elite FC 2018 Boys Liverpool,8,6,1,1,3.25,1.5,1.88,19,2.38,76.2,2.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
5,LFC United LFC United 2018 B Elite,7,5,1,1,4.0,1.0,2.43,16,2.29,75.7,3.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
6,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black,9,7,0,2,4.78,1.89,1.67,21,2.33,74.4,3.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
7,Blast FC Soccer Academy Blast FC 2018B,9,6,2,1,4.11,1.89,2.22,20,2.22,73.5,1.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
8,Club Ohio Club Ohio West 18B Academy II,10,6,3,1,3.7,1.6,1.6,21,2.1,68.8,4.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
9,Northwest FC Northwest FC 2018B Academy Blue,7,4,0,3,3.0,2.43,0.57,12,1.71,56.6,5.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
10,Polaris Soccer Club Polaris SC 18B Navy,8,4,1,3,3.63,3.38,0.25,13,1.62,53.5,2.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
11,Dublin United Soccer Club DUSC Sharks 2018 Boys,12,6,0,6,3.17,2.0,0.58,18,1.5,51.7,6.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
12,Sporting Columbus Sporting Columbus Boys 2018 II,10,4,1,5,2.2,2.5,-0.3,13,1.3,44.4,3.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
13,Delaware Knights Delaware Knights 2018 BU08,8,3,1,4,4.63,4.38,-0.5,10,1.25,42.7,4.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
14,Grove City Kids Association GCKA 2018B,8,3,0,5,3.13,2.88,0.13,9,1.12,41.5,7.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
15,>>> Dublin DSX Orange 2018 Boys <<<,12,4,3,5,4.17,5.08,-0.92,15,1.0,35.6,,
16,Elite FC Elite FC 2018 Boys Tottenham,4,1,0,3,3.0,3.75,-0.75,3,0.75,30.2,8.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
17,Club Oranje Club Oranje Raptors 2018 BU08 Navy,11,2,1,8,1.0,3.91,-2.36,7,0.64,22.9,9.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
18,Columbus Force SC CE 2018B Net Ninjas,10,1,1,8,1.4,5.9,-2.9,4,0.4,15.6,5.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
19,LFC United LFC United 2018 B Elite 2,7,1,0,6,1.43,5.14,-3.14,3,0.43,15.6,10.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
20,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,8,1,0,7,1.5,5.88,-2.88,3,0.38,15.2,4.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
21,Barcelona United Barcelona United Elite II 18B,9,1,0,8,0.78,6.11,-3.11,3,0.33,13.4,5.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
22,Worthington United WSP Hawkeyes Blue SC 2018 Boys,10,0,1,9,1.0,4.3,-3.0,1,0.1,8.3,11.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
23,Johnstown FC Johnstown FC 2018 Boys,1,0,0,1,0.0,4.0,-4.0,0,0.0,3.0,6.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
24,NASA Xtabi NASA Xtabi 2018 Boys,1,0,0,1,3.0,9.0,-4.0,0,0.0,3.0,6.0,https://system.gotsport.com/org_event/events/45535/results?group=418528
