Rank,Team,GP,W,L,D,GF,GA,GD,Pts,PPG,StrengthIndex,SourceURL,Division,EventID,GroupID,League,last_updated
1,Club Ohio Club Ohio West 17B Green,0,0,0,0,0,0,0,4,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389754,Schedule,44565,389754,GotSport Tournament,2025-11-02 22:39:55
2,Grasshoppers FC Grasshoppers FC - 2017B Teal,0,0,0,0,0,0,0,9,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389754,Schedule,44565,389754,GotSport Tournament,2025-11-02 22:39:55
3,Club Oranje Club Oranje Raptors 2017 BU09 Oranje,0,0,0,0,0,0,0,4,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389754,Schedule,44565,389754,GotSport Tournament,2025-11-02 22:39:55
4,Worthington United Worthington United 94 2017 Boys Navy I,0,0,0,0,0,0,0,0,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389754,Schedule,44565,389754,GotSport Tournament,2025-11-02 22:39:55
1,Club Ohio Club Ohio West 17B Green II,0,0,0,0,0,0,0,3,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389755,Schedule,44565,389755,GotSport Tournament,2025-11-02 22:39:57
2,Elite FC Elite FC 2017 Boys Pre-ECNL,0,0,0,0,0,0,0,7,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389755,Schedule,44565,389755,GotSport Tournament,2025-11-02 22:39:57
3,Northwest FC Northwest FC 2017B Blue,0,0,0,0,0,0,0,0,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389755,Schedule,44565,389755,GotSport Tournament,2025-11-02 22:39:58
4,Team Challenger FC North Team Challenger FC B17 Black,0,0,0,0,0,0,0,7,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389755,Schedule,44565,389755,GotSport Tournament,2025-11-02 22:39:58
1,Club Ohio Club Ohio North 17B Academy,0,0,0,0,0,0,0,3,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389757,Schedule,44565,389757,GotSport Tournament,2025-11-02 22:40:00
2,LouCity / Racing Youth Academy LouCity Oldham 17 Purple,0,0,0,0,0,0,0,0,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389757,Schedule,44565,389757,GotSport Tournament,2025-11-02 22:40:00
3,Green SA GSA Academy BOYS Tournament 2017,0,0,0,0,0,0,0,9,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389757,Schedule,44565,389757,GotSport Tournament,2025-11-02 22:40:00
4,Club Ohio Club Ohio United 2017B,0,0,0,0,0,0,0,6,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389757,Schedule,44565,389757,GotSport Tournament,2025-11-02 22:40:00
4,Cuyahoga Valley Soccer Academy CVSA 2017 Boys,0,0,0,0,0,0,0,4,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389757,Schedule,44565,389757,GotSport Tournament,2025-11-02 22:40:00
1,Grasshoppers FC Grasshoppers FC - 2018B Pool 1,0,0,0,0,0,0,0,9,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389756,Schedule,44565,389756,GotSport Tournament,2025-11-02 22:40:02
2,Club Ohio Club Ohio West 17B Academy II,0,0,0,0,0,0,0,3,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389756,Schedule,44565,389756,GotSport Tournament,2025-11-02 22:40:02
3,Worthington United Worthington United 94 2017 Boys Red,0,0,0,0,0,0,0,0,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389756,Schedule,44565,389756,GotSport Tournament,2025-11-02 22:40:02
4,Square One Sports SOS 2017 Boys,0,0,0,0,0,0,0,6,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389756,Schedule,44565,389756,GotSport Tournament,2025-11-02 22:40:02
1,Dublin United Soccer Club DUSC Shelbourne 2017 Boys,0,0,0,0,0,0,0,9,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389756,Schedule,44565,389756,GotSport Tournament,2025-11-02 22:40:02
2,Mountaineer United Soccer Club MUSC 2017 Boys,0,0,0,0,0,0,0,6,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389756,Schedule,44565,389756,GotSport Tournament,2025-11-02 22:40:02
3,Northwest FC Northwest FC 2017B White,0,0,0,0,0,0,0,3,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389756,Schedule,44565,389756,GotSport Tournament,2025-11-02 22:40:02
4,Club Ohio Club Ohio West 18B Academy,0,0,0,0,0,0,0,0,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=389756,Schedule,44565,389756,GotSport Tournament,2025-11-02 22:40:02
1,Club Ohio Club Ohio West 18B Academy II,0,0,0,0,0,0,0,3,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=436954,Schedule,44565,436954,GotSport Tournament,2025-11-02 22:40:04
2,Dublin Soccer League DSX Orange 2018B,0,0,0,0,0,0,0,6,0,15.0,https://system.gotsport.com/org_event/events/44565/results?group=436954,Schedule,44565,436954,GotSport Tournament,2025-11-02 22:40:04
