Date,Opponent,Team,Score
Unknown,Polaris Soccer Club Polaris SC 18B Navy,Blast FC Soccer Academy Blast FC 2018B,Unknown
Unknown,Sporting Columbus Sporting Columbus Boys 2018 II,Blast FC Soccer Academy Blast FC 2018B,Unknown
Unknown,Delaware Knights Delaware Knights 2018 BU08,Blast FC Soccer Academy Blast FC 2018B,Unknown
Unknown,Columbus Force SC CE 2018B Net Ninjas,Blast FC Soccer Academy Blast FC 2018B,Unknown
Unknown,Johnstown FC Johnstown FC 2018 Boys,Blast FC Soccer Academy Blast FC 2018B,Unknown
Unknown,5 - 1,Blast FC Soccer Academy Blast FC 2018B,202511-45
Unknown,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,Blast FC Soccer Academy Blast FC 2018B,20253-00
Unknown,Sporting Columbus Sporting Columbus Boys 2018 II,Blast FC Soccer Academy Blast FC 2018B,202511-30
Unknown,Club Ohio Club Ohio West 18B Academy II,Blast FC Soccer Academy Blast FC 2018B,20256-40
Unknown,5 - 1,Blast FC Soccer Academy Blast FC 2018B,20256-30
Unknown,Polaris Soccer Club Polaris SC 18B Navy,Blast FC Soccer Academy Blast FC 2018B,202511-20
Unknown,Columbus Force SC CE 2018B Net Ninjas,Blast FC Soccer Academy Blast FC 2018B,20251-00
Unknown,8 - 4,Blast FC Soccer Academy Blast FC 2018B,20258-45
Unknown,4 - 4,Blast FC Soccer Academy Blast FC 2018B,20256-00
Unknown,-,Blast FC Soccer Academy Blast FC 2018B,20256-00
Unknown,Upper Arlington United UAU 2018 BU U8 BLACK,Elite FC Elite FC 2018 Boys Liverpool,Unknown
Unknown,LFC United LFC United 2018 B Elite,Elite FC Elite FC 2018 Boys Liverpool,Unknown
Unknown,Club Ohio Club Ohio West 18B Academy II,Elite FC Elite FC 2018 Boys Liverpool,Unknown
Unknown,Northwest FC Northwest FC 2018B Academy Blue,Elite FC Elite FC 2018 Boys Liverpool,Unknown
Unknown,Dublin United Soccer Club DUSC Sharks 2018 Boys,Elite FC Elite FC 2018 Boys Liverpool,Unknown
Unknown,Grove City Kids Association GCKA 2018B,Elite FC Elite FC 2018 Boys Liverpool,Unknown
Unknown,Elite FC Elite FC 2018 Boys Tottenham,Elite FC Elite FC 2018 Boys Liverpool,Unknown
Unknown,Club Oranje Club Oranje Raptors 2018 BU08 Navy,Elite FC Elite FC 2018 Boys Liverpool,Unknown
Unknown,LFC United LFC United 2018 B Elite 2,Elite FC Elite FC 2018 Boys Liverpool,Unknown
Unknown,Worthington United WSP Hawkeyes Blue SC 2018 Boys,Elite FC Elite FC 2018 Boys Liverpool,Unknown
Unknown,0 - 0,Elite FC Elite FC 2018 Boys Liverpool,20259-00
Unknown,Club Oranje Club Oranje Raptors 2018 BU08 Navy,Elite FC Elite FC 2018 Boys Liverpool,202510-00
Unknown,6 - 2,Elite FC Elite FC 2018 Boys Liverpool,202512-00
Unknown,2 - 1,Elite FC Elite FC 2018 Boys Liverpool,202510-30
Unknown,Northwest FC Northwest FC 2018B Academy Blue,Elite FC Elite FC 2018 Boys Liverpool,20256-00
Unknown,4 - 0,Elite FC Elite FC 2018 Boys Liverpool,202510-30
Unknown,LFC United LFC United 2018 B Elite 2,Elite FC Elite FC 2018 Boys Liverpool,202511-00
Unknown,LFC United LFC United 2018 B Elite,Elite FC Elite FC 2018 Boys Liverpool,20258-40
Unknown,Upper Arlington United UAU 2018 BU U8 BLACK,LFC United LFC United 2018 B Elite 2,Unknown
Unknown,Elite FC Elite FC 2018 Boys Liverpool,LFC United LFC United 2018 B Elite 2,Unknown
Unknown,LFC United LFC United 2018 B Elite,LFC United LFC United 2018 B Elite 2,Unknown
Unknown,Club Ohio Club Ohio West 18B Academy II,LFC United LFC United 2018 B Elite 2,Unknown
Unknown,Northwest FC Northwest FC 2018B Academy Blue,LFC United LFC United 2018 B Elite 2,Unknown
Unknown,Dublin United Soccer Club DUSC Sharks 2018 Boys,LFC United LFC United 2018 B Elite 2,Unknown
Unknown,Grove City Kids Association GCKA 2018B,LFC United LFC United 2018 B Elite 2,Unknown
Unknown,Elite FC Elite FC 2018 Boys Tottenham,LFC United LFC United 2018 B Elite 2,Unknown
Unknown,Club Oranje Club Oranje Raptors 2018 BU08 Navy,LFC United LFC United 2018 B Elite 2,Unknown
Unknown,Worthington United WSP Hawkeyes Blue SC 2018 Boys,LFC United LFC United 2018 B Elite 2,Unknown
Unknown,Upper Arlington United UAU 2018 BU U8 BLACK,LFC United LFC United 2018 B Elite 2,202512-00
Unknown,1 - 9,LFC United LFC United 2018 B Elite 2,202512-40
Unknown,Worthington United WSP Hawkeyes Blue SC 2018 Boys,LFC United LFC United 2018 B Elite 2,202510-45
Unknown,0 - 4,LFC United LFC United 2018 B Elite 2,20256-30
Unknown,Club Oranje Club Oranje Raptors 2018 BU08 Navy,LFC United LFC United 2018 B Elite 2,202510-00
Unknown,Elite FC Elite FC 2018 Boys Liverpool,LFC United LFC United 2018 B Elite 2,202512-00
Unknown,1 - 5,LFC United LFC United 2018 B Elite 2,202511-00
Unknown,-,LFC United LFC United 2018 B Elite 2,20256-30
Unknown,Upper Arlington United UAU 2018 BU U8 BLACK,Elite FC Elite FC 2018 Boys Tottenham,Unknown
Unknown,Elite FC Elite FC 2018 Boys Liverpool,Elite FC Elite FC 2018 Boys Tottenham,Unknown
Unknown,LFC United LFC United 2018 B Elite,Elite FC Elite FC 2018 Boys Tottenham,Unknown
Unknown,Club Ohio Club Ohio West 18B Academy II,Elite FC Elite FC 2018 Boys Tottenham,Unknown
Unknown,Northwest FC Northwest FC 2018B Academy Blue,Elite FC Elite FC 2018 Boys Tottenham,Unknown
Unknown,Dublin United Soccer Club DUSC Sharks 2018 Boys,Elite FC Elite FC 2018 Boys Tottenham,Unknown
Unknown,Grove City Kids Association GCKA 2018B,Elite FC Elite FC 2018 Boys Tottenham,Unknown
Unknown,Club Oranje Club Oranje Raptors 2018 BU08 Navy,Elite FC Elite FC 2018 Boys Tottenham,Unknown
Unknown,LFC United LFC United 2018 B Elite 2,Elite FC Elite FC 2018 Boys Tottenham,Unknown
Unknown,Worthington United WSP Hawkeyes Blue SC 2018 Boys,Elite FC Elite FC 2018 Boys Tottenham,Unknown
Unknown,3 - 5,Elite FC Elite FC 2018 Boys Tottenham,20251-30
Unknown,6 - 2,Elite FC Elite FC 2018 Boys Tottenham,20256-00
Unknown,-,Elite FC Elite FC 2018 Boys Tottenham,20256-00
Unknown,1 - 3,Elite FC Elite FC 2018 Boys Tottenham,20253-00
Unknown,2 - 5,Elite FC Elite FC 2018 Boys Tottenham,202510-30
Unknown,-,Elite FC Elite FC 2018 Boys Tottenham,202512-00
Unknown,Upper Arlington United UAU 2018 BU U8 BLACK,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Elite FC Elite FC 2018 Boys Liverpool,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,LFC United LFC United 2018 B Elite,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Club Ohio Club Ohio West 18B Academy II,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Dublin United Soccer Club DUSC Sharks 2018 Boys,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Grove City Kids Association GCKA 2018B,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Elite FC Elite FC 2018 Boys Tottenham,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Club Oranje Club Oranje Raptors 2018 BU08 Navy,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,LFC United LFC United 2018 B Elite 2,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Worthington United WSP Hawkeyes Blue SC 2018 Boys,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Elite FC Elite FC 2018 Boys Arsenal,Northwest FC Northwest FC 2018B Academy Blue,202510-30
Unknown,Upper Arlington United UAU 2018 BU U8 BLACK,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Elite FC Elite FC 2018 Boys Liverpool,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,LFC United LFC United 2018 B Elite,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Club Ohio Club Ohio West 18B Academy II,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Dublin United Soccer Club DUSC Sharks 2018 Boys,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Grove City Kids Association GCKA 2018B,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Elite FC Elite FC 2018 Boys Tottenham,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Club Oranje Club Oranje Raptors 2018 BU08 Navy,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,LFC United LFC United 2018 B Elite 2,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,Worthington United WSP Hawkeyes Blue SC 2018 Boys,Northwest FC Northwest FC 2018B Academy Blue,Unknown
Unknown,0 - 3,Northwest FC Northwest FC 2018B Academy Blue,20252-00
Unknown,Club Oranje Club Oranje Raptors 2018 BU08 Navy,Northwest FC Northwest FC 2018B Academy Blue,202511-00
Unknown,6 - 4,Northwest FC Northwest FC 2018B Academy Blue,20256-30
Unknown,Dublin United Soccer Club DUSC Sharks 2018 Boys,Northwest FC Northwest FC 2018B Academy Blue,20256-45
Unknown,Worthington United WSP Hawkeyes Blue SC 2018 Boys,Northwest FC Northwest FC 2018B Academy Blue,202510-00
Unknown,2 - 4,Northwest FC Northwest FC 2018B Academy Blue,20256-00
Unknown,Club Ohio Club Ohio West 18B Academy II,Northwest FC Northwest FC 2018B Academy Blue,20256-00
Unknown,Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Barcelona United Barcelona United Elite II 18B,Unknown
Unknown,Pride Soccer Club Pride SC 2019/2018 Boys Copa,Barcelona United Barcelona United Elite II 18B,Unknown
Unknown,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black,Barcelona United Barcelona United Elite II 18B,Unknown
Unknown,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,Barcelona United Barcelona United Elite II 18B,Unknown
Unknown,NASA Xtabi NASA Xtabi 2018 Boys,Barcelona United Barcelona United Elite II 18B,Unknown
Unknown,1 - 4,Barcelona United Barcelona United Elite II 18B,20254-00
Unknown,1 - 3,Barcelona United Barcelona United Elite II 18B,20254-00
Unknown,Pride Soccer Club Pride SC 2019/2018 Boys Copa,Barcelona United Barcelona United Elite II 18B,20252-00
Unknown,0 - 9,Barcelona United Barcelona United Elite II 18B,20259-00
Unknown,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,Barcelona United Barcelona United Elite II 18B,202512-00
Unknown,Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Barcelona United Barcelona United Elite II 18B,20256-00
Unknown,Dublin United Soccer Club DUSC Sharks 2018 Boys,Barcelona United Barcelona United Elite II 18B,202511-20
Unknown,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black,Barcelona United Barcelona United Elite II 18B,20256-00
Unknown,0 - 4,Barcelona United Barcelona United Elite II 18B,20252-30
Unknown,Upper Arlington United UAU 2018 BU U8 BLACK,Grove City Kids Association GCKA 2018B,Unknown
Unknown,Elite FC Elite FC 2018 Boys Liverpool,Grove City Kids Association GCKA 2018B,Unknown
Unknown,LFC United LFC United 2018 B Elite,Grove City Kids Association GCKA 2018B,Unknown
Unknown,Club Ohio Club Ohio West 18B Academy II,Grove City Kids Association GCKA 2018B,Unknown
Unknown,Northwest FC Northwest FC 2018B Academy Blue,Grove City Kids Association GCKA 2018B,Unknown
Unknown,Dublin United Soccer Club DUSC Sharks 2018 Boys,Grove City Kids Association GCKA 2018B,Unknown
Unknown,Elite FC Elite FC 2018 Boys Tottenham,Grove City Kids Association GCKA 2018B,Unknown
