DSX_Opponent,Opponent_of_Opponent
Blast FC Soccer Academy Blast FC 2018B,5 - 1
Blast FC Soccer Academy Blast FC 2018B,Polaris Soccer Club Polaris SC 18B Navy
Blast FC Soccer Academy Blast FC 2018B,Delaware Knights Delaware Knights 2018 BU08
Blast FC Soccer Academy Blast FC 2018B,8 - 4
Blast FC Soccer Academy Blast FC 2018B,Johnstown FC Johnstown FC 2018 Boys
Blast FC Soccer Academy Blast FC 2018B,-
Blast FC Soccer Academy Blast FC 2018B,Club Ohio Club Ohio West 18B Academy II
Blast FC Soccer Academy Blast FC 2018B,Columbus Force SC CE 2018B Net Ninjas
Blast FC Soccer Academy Blast FC 2018B,Sporting Columbus Sporting Columbus Boys 2018 II
Blast FC Soccer Academy Blast FC 2018B,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys
Blast FC Soccer Academy Blast FC 2018B,4 - 4
Elite FC Elite FC 2018 Boys Liverpool,LFC United LFC United 2018 B Elite
Elite FC Elite FC 2018 Boys Liverpool,0 - 0
Elite FC Elite FC 2018 Boys Liverpool,Dublin United Soccer Club DUSC Sharks 2018 Boys
Elite FC Elite FC 2018 Boys Liverpool,LFC United LFC United 2018 B Elite 2
Elite FC Elite FC 2018 Boys Liverpool,Northwest FC Northwest FC 2018B Academy Blue
Elite FC Elite FC 2018 Boys Liverpool,6 - 2
Elite FC Elite FC 2018 Boys Liverpool,Upper Arlington United UAU 2018 BU U8 BLACK
Elite FC Elite FC 2018 Boys Liverpool,Club Ohio Club Ohio West 18B Academy II
Elite FC Elite FC 2018 Boys Liverpool,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Elite FC Elite FC 2018 Boys Liverpool,2 - 1
Elite FC Elite FC 2018 Boys Liverpool,Elite FC Elite FC 2018 Boys Tottenham
Elite FC Elite FC 2018 Boys Liverpool,Grove City Kids Association GCKA 2018B
Elite FC Elite FC 2018 Boys Liverpool,4 - 0
Elite FC Elite FC 2018 Boys Liverpool,Worthington United WSP Hawkeyes Blue SC 2018 Boys
LFC United LFC United 2018 B Elite 2,LFC United LFC United 2018 B Elite
LFC United LFC United 2018 B Elite 2,Dublin United Soccer Club DUSC Sharks 2018 Boys
LFC United LFC United 2018 B Elite 2,Grove City Kids Association GCKA 2018B
LFC United LFC United 2018 B Elite 2,Northwest FC Northwest FC 2018B Academy Blue
LFC United LFC United 2018 B Elite 2,0 - 4
LFC United LFC United 2018 B Elite 2,-
LFC United LFC United 2018 B Elite 2,Upper Arlington United UAU 2018 BU U8 BLACK
LFC United LFC United 2018 B Elite 2,1 - 5
LFC United LFC United 2018 B Elite 2,Club Ohio Club Ohio West 18B Academy II
LFC United LFC United 2018 B Elite 2,Club Oranje Club Oranje Raptors 2018 BU08 Navy
LFC United LFC United 2018 B Elite 2,1 - 9
LFC United LFC United 2018 B Elite 2,Elite FC Elite FC 2018 Boys Tottenham
LFC United LFC United 2018 B Elite 2,Elite FC Elite FC 2018 Boys Liverpool
LFC United LFC United 2018 B Elite 2,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Elite FC Elite FC 2018 Boys Tottenham,2 - 5
Elite FC Elite FC 2018 Boys Tottenham,LFC United LFC United 2018 B Elite
Elite FC Elite FC 2018 Boys Tottenham,Dublin United Soccer Club DUSC Sharks 2018 Boys
Elite FC Elite FC 2018 Boys Tottenham,LFC United LFC United 2018 B Elite 2
Elite FC Elite FC 2018 Boys Tottenham,1 - 3
