DSX_Opponent,Opponent_of_Opponent
Club Oranje Club Oranje Raptors 2017 BU09 Oranje,Grasshoppers FC Grasshoppers FC - 2017B Teal (OH)
Club Oranje Club Oranje Raptors 2017 BU09 Oranje,Club Ohio Club Ohio West 17B Green (OH)
Club Oranje Club Oranje Raptors 2017 BU09 Oranje,Worthington United Worthington United 94 2017 Boys Navy I (OH)
Club Oranje Club Oranje Raptors 2017 BU09 Oranje,Worthington United Worthington United 94 2017 Boys Navy I
Club Oranje Club Oranje Raptors 2017 BU09 Oranje,Club Ohio Club Ohio West 17B Green
Club Oranje Club Oranje Raptors 2017 BU09 Oranje,Grasshoppers FC Grasshoppers FC - 2017B Teal
Columbus Force SC Columbus Force 18B Premier,Grasshoppers FC Grasshoppers FC - 2018B Pool 1
Columbus Force SC Columbus Force 18B Premier,Club Ohio Club Ohio West 18B Academy
Columbus Force SC Columbus Force 18B Premier,Kings Hammer New Albany KHJ1 New Albany B18
Columbus Force SC Columbus Force 18B Premier,Ohio Premier 2018 Boys Academy UA Black
Columbus Force SC Columbus Force 18B Premier,Ohio Premier 2018 Boys Academy Dublin Black
Columbus Force SC Columbus Force 18B Premier,Barcelona United Barcelona United Elite 18B
Columbus Force SC Columbus Force 18B Premier,Sporting Columbus Sporting Columbus Boys 2017 II
Columbus Force SC Columbus Force 18B Premier,Glory SC Glory SC 2017 Ellos
Columbus Force SC Columbus Force 18B Premier,Club Oranje Club Oranje Raptors 2018 BU08 Oranje
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Grasshoppers FC Grasshoppers FC - 2018B Pool 1 Black
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Sporting Columbus Sporting Columbus Boys 2018 I
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Ohio Premier 2018 Boys Academy Dublin Grey
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Elite FC Elite FC 2018 Boys Arsenal
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Northwest FC Northwest FC 2018B Academy Orange
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Ohio Premier 2018 Boys Academy UA Grey
Club Oranje Club Oranje Raptors 2018 BU08 Oranje,Johnstown FC Johnstown FC 2018 Boys
Columbus Force SC CE 2018B Net Ninjas,Blast FC Soccer Academy Blast FC 2018B
Columbus Force SC CE 2018B Net Ninjas,Polaris Soccer Club Polaris SC 18B Navy
Columbus Force SC CE 2018B Net Ninjas,Sporting Columbus Sporting Columbus Boys 2018 II
Columbus Force SC CE 2018B Net Ninjas,Delaware Knights Delaware Knights 2018 BU08
Columbus Force SC CE 2018B Net Ninjas,Johnstown FC Johnstown FC 2018 Boys
Columbus Force SC CE 2018B Net Ninjas,Upper Arlington United UAU 2018 BU U8 BLACK
Columbus Force SC CE 2018B Net Ninjas,Elite FC Elite FC 2018 Boys Liverpool
Columbus Force SC CE 2018B Net Ninjas,LFC United LFC United 2018 B Elite
Columbus Force SC CE 2018B Net Ninjas,Club Ohio Club Ohio West 18B Academy II
Columbus Force SC CE 2018B Net Ninjas,Northwest FC Northwest FC 2018B Academy Blue
Columbus Force SC CE 2018B Net Ninjas,Dublin United Soccer Club DUSC Sharks 2018 Boys
Columbus Force SC CE 2018B Net Ninjas,Grove City Kids Association GCKA 2018B
Columbus Force SC CE 2018B Net Ninjas,Elite FC Elite FC 2018 Boys Tottenham
Columbus Force SC CE 2018B Net Ninjas,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Columbus Force SC CE 2018B Net Ninjas,LFC United LFC United 2018 B Elite 2
Columbus Force SC CE 2018B Net Ninjas,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Columbus Force SC CE 2018B Net Ninjas,Zanesville Arsenal SC Zanesville Arsenal SC 2018B
Columbus Force SC CE 2018B Net Ninjas,Pride Soccer Club Pride SC 2019/2018 Boys Copa
