Team,Source,Date_Added
-,Opponent of Opponent,2025-11-02
0 - 0,Opponent of Opponent,2025-11-02
0 - 3,Opponent of Opponent,2025-11-02
0 - 4,Opponent of Opponent,2025-11-02
0 - 9,Opponent of Opponent,2025-11-02
1 - 2,Opponent of Opponent,2025-11-02
1 - 3,Opponent of Opponent,2025-11-02
1 - 4,Opponent of Opponent,2025-11-02
1 - 5,Opponent of Opponent,2025-11-02
1 - 9,Opponent of Opponent,2025-11-02
2 - 1,Opponent of Opponent,2025-11-02
2 - 2,Opponent of Opponent,2025-11-02
2 - 3,Opponent of Opponent,2025-11-02
2 - 4,Opponent of Opponent,2025-11-02
2 - 5,Opponent of Opponent,2025-11-02
3 - 1,Opponent of Opponent,2025-11-02
3 - 5,Opponent of Opponent,2025-11-02
4 - 0,Opponent of Opponent,2025-11-02
4 - 1,Opponent of Opponent,2025-11-02
4 - 4,Opponent of Opponent,2025-11-02
5 - 1,Opponent of Opponent,2025-11-02
5 - 2,Opponent of Opponent,2025-11-02
5 - 3,Opponent of Opponent,2025-11-02
6 - 1,Opponent of Opponent,2025-11-02
6 - 2,Opponent of Opponent,2025-11-02
6 - 4,Opponent of Opponent,2025-11-02
8 - 4,Opponent of Opponent,2025-11-02
9 - 0,Opponent of Opponent,2025-11-02
Blast FC Soccer Academy Blast FC 2018B,Opponent of Opponent,2025-11-02
Club Ohio Club Ohio West 18B Academy II,Opponent of Opponent,2025-11-02
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Opponent of Opponent,2025-11-02
Columbus Force SC CE 2018B Net Ninjas,Opponent of Opponent,2025-11-02
Delaware Knights Delaware Knights 2018 BU08,Opponent of Opponent,2025-11-02
Dublin United Soccer Club DUSC Sharks 2018 Boys,Opponent of Opponent,2025-11-02
Elite FC Elite FC 2018 Boys Arsenal,Opponent of Opponent,2025-11-02
Elite FC Elite FC 2018 Boys Liverpool,Opponent of Opponent,2025-11-02
Elite FC Elite FC 2018 Boys Tottenham,Opponent of Opponent,2025-11-02
Grove City Kids Association GCKA 2018B,Opponent of Opponent,2025-11-02
Johnstown FC Johnstown FC 2018 Boys,Opponent of Opponent,2025-11-02
LFC United LFC United 2018 B Elite,Opponent of Opponent,2025-11-02
LFC United LFC United 2018 B Elite 2,Opponent of Opponent,2025-11-02
Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,Opponent of Opponent,2025-11-02
NASA Xtabi NASA Xtabi 2018 Boys,Opponent of Opponent,2025-11-02
Northwest FC Northwest FC 2018B Academy Blue,Opponent of Opponent,2025-11-02
Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black,Opponent of Opponent,2025-11-02
Polaris Soccer Club Polaris SC 18B Navy,Opponent of Opponent,2025-11-02
Pride Soccer Club Pride SC 2019/2018 Boys Copa,Opponent of Opponent,2025-11-02
Sporting Columbus Sporting Columbus Boys 2018 II,Opponent of Opponent,2025-11-02
Upper Arlington United UAU 2018 BU U8 BLACK,Opponent of Opponent,2025-11-02
Worthington United WSP Hawkeyes Blue SC 2018 Boys,Opponent of Opponent,2025-11-02
Zanesville Arsenal SC Zanesville Arsenal SC 2018B,Opponent of Opponent,2025-11-02
