Rank,Team,GP,W,D,L,GF,GA,GD,Pts,PPG,StrengthIndex
1,Club Ohio Club Ohio East 18B Academy,6.0,6.0,0.0,0.0,6.0,0.83,5.17,18.0,3.0,100.0
2,Grasshoppers FC Grasshoppers FC - 2018B Pool 1 Black,6.0,6.0,0.0,0.0,8.67,0.83,7.84,18.0,3.0,100.0
3,Cincinnati United CUSE 17B Arsenal,8.0,8.0,0.0,0.0,54.0,10.0,44.0,24.0,3.0,100.0
4,NKY Gunners Athletic Club NKY Gunners Athletic Club B17,8.0,8.0,0.0,0.0,44.0,4.0,40.0,24.0,3.0,100.0
5,Lawrenceburg Greendale Soccer Club LGSC B17 Red Hawks,6.0,6.0,0.0,0.0,28.0,6.0,22.0,18.0,3.0,96.0
6,Campbell Soccer Club (CSC) CSC U9B Enzweiler,8.0,7.0,1.0,0.0,58.0,2.0,56.0,22.0,2.75,94.2
7,Campbell Soccer Club (CSC) CSC U9B Willoughby,7.0,6.0,1.0,0.0,38.0,7.0,31.0,19.0,2.7142857142857144,91.6
8,Cincy SC Cincy SC B18/17 Premier,6.0,5.0,1.0,0.0,45.0,10.0,35.0,16.0,2.6666666666666665,92.2
9,Grasshoppers FC Grasshoppers FC - 2018B Pool 1,8.0,7.0,0.0,1.0,7.38,1.75,5.63,21.0,2.63,91.4
10,Cincinnati United CUSM 17B AS Roma,7.0,6.0,0.0,1.0,37.0,11.0,26.0,18.0,2.571428571428572,86.1
11,Kings Hammer Soccer Club KHJR CINCY B17-2,7.0,6.0,0.0,1.0,41.0,17.0,24.0,18.0,2.571428571428572,85.3
12,Lord's Gym Price Hill F.C. B17/18,6.0,5.0,0.0,1.0,26.0,10.0,16.0,15.0,2.5,81.3
13,Lakota Futbol Club Lakota FC B17 Silver,8.0,6.0,1.0,1.0,50.0,10.0,40.0,19.0,2.375,85.4
14,Lakota Futbol Club Lakota FC B17 Gray,7.0,5.0,1.0,1.0,36.0,10.0,26.0,16.0,2.2857142857142856,79.5
15,Fairfield Optimist Soccer Club FOSC B17 White,8.0,6.0,0.0,2.0,29.0,20.0,9.0,18.0,2.25,82.5
